1	F	F	5	12	15	14	12	10	13	13	13	5	7	17	F	Z
5	2	5	5	12, P1	15, P1	14, P1	12, P1	10, P1	13, P1	13, P1	13, P1	5	6	F	12, P1	Z, P1
5	5	3	5	12, P1	15, P1	14, P1	12, P1	10, P1	13, P1	13, P1	13, P1	5	6	F	12, P1	Z, P1
5	5	5	5	4	15, P1	14, P1	12, P1	10, P1	13, P1	13, P1	13, P1	5	6	F	12, P1	Z, P1
4	4	4	4	4	4	4	4	4	4	4	4	4	4	F	12, P7	Z, P7
5	5	5	5	12, P2	15, P2	14, P2	12, P2	10, P2	13, P2	13, P2	13, P2	5	6	F	12, P2	Z, P2
6	6	6	6	12, P1	15, P1	14, P1	12, P1	10, P1	13, P1	13, P1	13, P1	6	6	F	12, P1	Z, P1
F	F	F	8	12, P3	15, P3	14, P3	12, P1	11	13, P3	13, P3	13, P3	F	7	F	12, P3	Z, P3
F	F	F	F	F	F	F	F	F	F	19	F	F	9	F	F	F
F	F	F	F	12, P3	15, P3	14, P3	12, P3	10, P3	13, P3	13, P3	13, P3	F	7, P3	F	12, P3	Z, P3
F	F	F	F	F	F	F	F	F	F	F	F	F	11	F	F	F
F	F	F	8	12, P3	15, P3	14, P3	12, P3	10, P3	13, P3	13, P3	13, P3	F	11	F	12, P3	Z, P3
1, P4	5, P4	5, P4	5, P4	12, P4	15, P4	14, P4	12, P4	10, P4	13, P4	13, P4	13, P4	5, P4	7, P4	17, P4	F	Z, P4
1, P5	5, P5	5, P5	5, P5	12, P5	15, P5	14, P5	12, P5	10, P5	13, P5	13, P5	13, P5	5, P5	7, P5	17, P5	F, P5	Z, P5
1, P5	5, P5	5, P5	5, P5	12, P5	15, P5	14, P5	12, P5	10, P5	13, P5	13, P5	15	5, P5	7, P5	17, P5	F	Z, P5
1, P5	5, P5	5, P5	5, P5	12, P5	15, P5	14, P5	12, P5	10, P5	13, P5	13, P5	13, P5	5, P5	7, P5	17, P5	F	Z, P5
1, P5	5, P5	5, P5	5, P5	12, P5	15, P5	15	12, P5	10, P5	13, P5	13, P5	15	5, P5	7, P5	17, P5	F	Z, P5
17	17	17	17	17	17	17	17	17	17	17	17	17	17	18	F	F
1, P6	5, P6	5, P6	5, P6	12, P6	15, P6	14, P6	12, P6	10, P6	13, P6	13, P6	13, P6	5, P6	7, P6	17, P6	F	Z
F	F	F	F	F	F	F	F	F	F	F	F	F	9	F	F	F
F	F	F	F	F	F	F	F	F	F	F	F	F	F		F	Z

